PID,COMM,VA,PFN,mapping,folio_index,start_ns,latency_ns
1752,pipewire-pulse,0x7029fa77c000,0x2d2bb,89219341,7,8.04904E+12,6825714
1752,pipewire-pulse,0x7029fa76c000,0x7a976,00000000bd4d0cc1,0,8.04904E+12,6858774
1752,pipewire-pulse,0x7029fa76d000,0x93b5,00000000bd4d0cc1,1,8.04904E+12,6860542
1752,pipewire-pulse,0x7029fa76e000,0x8231e,00000000bd4d0cc1,2,8.04904E+12,6862010
1752,pipewire-pulse,0x7029fa76f000,0x82319,00000000bd4d0cc1,3,8.04904E+12,6863560
1752,pipewire-pulse,0x7029fa771000,0x82317,00000000bd4d0cc1,5,8.04904E+12,6866519
1752,pipewire-pulse,0x7029fa772000,0x82315,00000000bd4d0cc1,6,8.04904E+12,6868085
1752,pipewire-pulse,0x7029fa773000,0x41c05,00000000bd4d0cc1,7,8.04904E+12,6869594
1752,pipewire-pulse,0x7029fa771000,0x119190,0000000052ff8472,0,1.91722E+13,74286
1752,pipewire-pulse,0x7029fa772000,0x119191,0000000052ff8472,1,1.91722E+13,82144
1752,pipewire-pulse,0x7029fa773000,0x119192,0000000052ff8472,2,1.91722E+13,84097
1752,pipewire-pulse,0x7029fa774000,0x119193,0000000052ff8472,3,1.91722E+13,85916
1752,pipewire-pulse,0x7029fa775000,0x119194,0000000052ff8472,4,1.91722E+13,87521
1752,pipewire-pulse,0x7029fa776000,0x119195,0000000052ff8472,5,1.91722E+13,89141
1752,pipewire-pulse,0x7029fa777000,0x119196,0000000052ff8472,6,1.91722E+13,90721
1752,pipewire-pulse,0x7029fa778000,0x119197,0000000052ff8472,7,1.91722E+13,92277
1752,pipewire-pulse,0x7029fa768000,0x119199,000000001b5723ea,0,1.91722E+13,104105
1752,pipewire-pulse,0x7029fa769000,0x11919a,000000001b5723ea,1,1.91722E+13,105842
1752,pipewire-pulse,0x7029fa76a000,0x11919b,000000001b5723ea,2,1.91722E+13,107501
1752,pipewire-pulse,0x7029fa76b000,0x11919c,000000001b5723ea,3,1.91722E+13,108399
1752,pipewire-pulse,0x7029fa76c000,0x11919d,000000001b5723ea,4,1.91722E+13,109176
1752,pipewire-pulse,0x7029fa76d000,0x11919e,000000001b5723ea,5,1.91722E+13,109968
1752,pipewire-pulse,0x7029fa76e000,0x11919f,000000001b5723ea,6,1.91722E+13,110866
1752,pipewire-pulse,0x7029fa76f000,0x10e540,000000001b5723ea,7,1.91722E+13,111666
1752,pipewire-pulse,0x7029fa75f000,0x10e542,00000000612ad5dc,0,1.91722E+13,125560
1752,pipewire-pulse,0x7029fa761000,0x10e544,00000000612ad5dc,2,1.91722E+13,127310
1752,pipewire-pulse,0x7029fa762000,0x10e545,00000000612ad5dc,3,1.91722E+13,128227
1752,pipewire-pulse,0x7029fa763000,0x10e546,00000000612ad5dc,4,1.91722E+13,129014
1752,pipewire-pulse,0x7029fa764000,0x10e547,00000000612ad5dc,5,1.91722E+13,129925
1752,pipewire-pulse,0x7029fa765000,0x10e548,00000000612ad5dc,6,1.91722E+13,130740
1752,pipewire-pulse,0x7029fa766000,0x10e549,00000000612ad5dc,7,1.91722E+13,131654
1752,pipewire-pulse,0x7029fa756000,0x10e54c,00000000cad2b698,0,1.91722E+13,4855
1752,pipewire-pulse,0x7029fa757000,0x10e54d,00000000cad2b698,1,1.91722E+13,5776
1752,pipewire-pulse,0x7029fa758000,0x10e54e,00000000cad2b698,2,1.91722E+13,38157
1752,pipewire-pulse,0x7029fa759000,0x10e54f,00000000cad2b698,3,1.91722E+13,39087
1752,pipewire-pulse,0x7029fa75a000,0x11fa30,00000000cad2b698,4,1.91722E+13,39934
1752,pipewire-pulse,0x7029fa75b000,0x11fa31,00000000cad2b698,5,1.91722E+13,40834
